channel1,channel2
-14.21,-14.21
-13.2,-13.2
-14.2,-14.2
-16.7,-16.7
-19.66,-19.66
-21.97,-21.97
-22.63,-22.63
-21.79,-21.79
-20.07,-20.07
-18.73,-18.73
-18.41,-18.41
-19.21,-19.21
-20.51,-20.51
-22.16,-22.16
-23.67,-23.67
-25.04,-25.04
-26.01,-26.01
-26.35,-26.35
-26.18,-26.18
-25.76,-25.76
-25.72,-25.72
-25.92,-25.92
-26.36,-26.36
-26.67,-26.67
-26.73,-26.73
-26.4,-26.4
-25.83,-25.83
-25.0,-25.0
-24.43,-24.43
-23.74,-23.74
-23.29,-23.29
-23.1,-23.1
-23.66,-23.66
-24.96,-24.96
-26.37,-26.37
-26.88,-26.88
-25.89,-25.89
-23.78,-23.78
-21.93,-21.93
-20.97,-20.97
-21.27,-21.27
-22.19,-22.19
-23.59,-23.59
-25.23,-25.23
-26.97,-26.97
-28.7,-28.7
-29.78,-29.78
-29.59,-29.59
-27.65,-27.65
-24.36,-24.36
-20.71,-20.71
-17.96,-17.96
-16.99,-16.99
-17.91,-17.91
-20.05,-20.05
-22.05,-22.05
-22.79,-22.79
-21.76,-21.76
-19.73,-19.73
-17.6,-17.6
-16.36,-16.36
-15.75,-15.75
-15.27,-15.27
-15.05,-15.05
-15.45,-15.45
-16.59,-16.59
-18.21,-18.21
-19.33,-19.33
-19.3,-19.3
-18.27,-18.27
-16.87,-16.87
-15.48,-15.48
-14.23,-14.23
-13.12,-13.12
-11.63,-11.63
-9.91,-9.91
-8.32,-8.32
-7.62,-7.62
-7.81,-7.81
-8.49,-8.49
-8.79,-8.79
-8.09,-8.09
-6.52,-6.52
-4.95,-4.95
-3.78,-3.78
-3.49,-3.49
-3.95,-3.95
-5.16,-5.16
-7.49,-7.49
-10.54,-10.54
-13.19,-13.19
-14.55,-14.55
-14.41,-14.41
-13.14,-13.14
-11.13,-11.13
-9.51,-9.51
-8.91,-8.91
-9.8,-9.8
-11.44,-11.44
-13.31,-13.31
-14.29,-14.29
-14.01,-14.01
-12.6,-12.6
-10.83,-10.83
-9.7,-9.7
-9.57,-9.57
-10.82,-10.82
-12.56,-12.56
-14.16,-14.16
-15.23,-15.23
-15.42,-15.42
-14.73,-14.73
-13.68,-13.68
-13.13,-13.13
-13.58,-13.58
-14.9,-14.9
-16.33,-16.33
-17.0,-17.0
-16.91,-16.91
-16.56,-16.56
-16.09,-16.09
-15.88,-15.88
-15.78,-15.78
-15.81,-15.81
-15.97,-15.97
-15.87,-15.87
-15.39,-15.39
-14.41,-14.41
-13.45,-13.45
-13.48,-13.48
-14.77,-14.77
-17.3,-17.3
-20.04,-20.04
-22.51,-22.51
-23.83,-23.83
-24.13,-24.13
-23.55,-23.55
-22.59,-22.59
-21.9,-21.9
-21.83,-21.83
-22.38,-22.38
-23.55,-23.55
-25.09,-25.09
-26.47,-26.47
-27.72,-27.72
-28.32,-28.32
-28.04,-28.04
-27.01,-27.01
-24.73,-24.73
-21.1,-21.1
-16.62,-16.62
-12.05,-12.05
-8.66,-8.66
-7.41,-7.41
-8.17,-8.17
-9.93,-9.93
-11.55,-11.55
-11.64,-11.64
-10.23,-10.23
-7.72,-7.72
-5.09,-5.09
-3.25,-3.25
-2.66,-2.66
-3.46,-3.46
-5.12,-5.12
-7.15,-7.15
-9.16,-9.16
-10.38,-10.38
-10.48,-10.48
-9.08,-9.08
-6.05,-6.05
-2.19,-2.19
2.02,2.02
5.94,5.94
8.95,8.95
10.92,10.92
12.63,12.63
14.58,14.58
17.62,17.62
22.39,22.39
27.86,27.86
32.9,32.9
36.26,36.26
37.59,37.59
37.65,37.65
36.83,36.83
35.38,35.38
32.95,32.95
28.78,28.78
22.14,22.14
12.56,12.56
0.95,0.95
-11.06,-11.06
-21.34,-21.34
-28.14,-28.14
-30.88,-30.88
-30.21,-30.21
-28.05,-28.05
-25.9,-25.9
-24.88,-24.88
-25.26,-25.26
-27.37,-27.37
-31.34,-31.34
-37.26,-37.26
-43.88,-43.88
-49.05,-49.05
-50.79,-50.79
-48.76,-48.76
-44.36,-44.36
-39.75,-39.75
-36.3,-36.3
-33.5,-33.5
-30.72,-30.72
-27.59,-27.59
-24.23,-24.23
-21.15,-21.15
-18.84,-18.84
-17.3,-17.3
-16.52,-16.52
-16.0,-16.0
-15.48,-15.48
-14.21,-14.21
-11.95,-11.95
-9.21,-9.21
-7.0,-7.0
-5.8,-5.8
-6.12,-6.12
-6.67,-6.67
-6.73,-6.73
-5.78,-5.78
-4.09,-4.09
-2.66,-2.66
-1.5,-1.5
-1.1,-1.1
-0.45,-0.45
0.45,0.45
1.08,1.08
1.46,1.46
1.33,1.33
0.96,0.96
0.84,0.84
0.47,0.47
0.1,0.1
-0.51,-0.51
-1.37,-1.37
-2.46,-2.46
-3.8,-3.8
-5.63,-5.63
-7.69,-7.69
-9.73,-9.73
-11.5,-11.5
-12.75,-12.75
-12.98,-12.98
-13.22,-13.22
-13.45,-13.45
-14.67,-14.67
-16.38,-16.38
-18.07,-18.07
-18.75,-18.75
-18.42,-18.42
-16.83,-16.83
-15.01,-15.01
-12.7,-12.7
-10.42,-10.42
-8.4,-8.4
-6.39,-6.39
-5.16,-5.16
-4.44,-4.44
-4.22,-4.22
-4.25,-4.25
-4.54,-4.54
-4.81,-4.81
-5.09,-5.09
-5.36,-5.36
-5.38,-5.38
-5.4,-5.4
-4.67,-4.67
-2.94,-2.94
-0.23,-0.23
2.21,2.21
4.37,4.37
5.01,5.01
4.65,4.65
3.04,3.04
1.2,1.2
-0.63,-0.63
-1.7,-1.7
-1.75,-1.75
-0.3,-0.3
2.13,2.13
5.3,5.3
8.43,8.43
11.03,11.03
13.11,13.11
15.67,15.67
18.45,18.45
20.95,20.95
22.67,22.67
22.63,22.63
21.09,21.09
19.05,19.05
17.28,17.28
16.28,16.28
16.03,16.03
16.28,16.28
17.02,17.02
17.76,17.76
18.49,18.49
18.96,18.96
18.92,18.92
18.13,18.13
16.84,16.84
14.81,14.81
12.55,12.55
10.56,10.56
9.33,9.33
8.86,8.86
8.9,8.9
9.18,9.18
9.71,9.71
10.49,10.49
11.01,11.01
11.26,11.26
11.27,11.27
11.02,11.02
10.28,10.28
9.79,9.79
9.8,9.8
9.81,9.81
9.82,9.82
9.58,9.58
9.59,9.59
9.84,9.84
10.34,10.34
10.84,10.84
10.33,10.33
9.08,9.08
6.83,6.83
4.6,4.6
2.64,2.64
1.46,1.46
1.53,1.53
2.6,2.6
4.16,4.16
5.7,5.7
6.23,6.23
5.76,5.76
5.29,5.29
4.32,4.32
3.36,3.36
2.16,2.16
0.71,0.71
0.04,0.04
-0.14,-0.14
-0.06,-0.06
-0.48,-0.48
-0.65,-0.65
-0.56,-0.56
0.27,0.27
1.6,1.6
3.41,3.41
4.71,4.71
4.49,4.49
3.53,3.53
1.82,1.82
1.38,1.38
2.69,2.69
5.49,5.49
9.02,9.02
11.75,11.75
13.22,13.22
13.41,13.41
12.48,12.48
10.81,10.81
9.28,9.28
8.38,8.38
8.86,8.86
10.34,10.34
12.68,12.68
14.99,14.99
16.79,16.79
17.56,17.56
17.2,17.2
15.96,15.96
14.23,14.23
12.64,12.64
11.57,11.57
11.63,11.63
13.05,13.05
15.34,15.34
17.73,17.73
18.98,18.98
18.83,18.83
17.55,17.55
16.04,16.04
15.29,15.29
15.41,15.41
16.04,16.04
16.52,16.52
16.63,16.63
16.48,16.48
15.96,15.96
14.94,14.94
13.3,13.3
11.43,11.43
9.82,9.82
8.85,8.85
8.26,8.26
7.93,7.93
7.84,7.84
7.76,7.76
7.55,7.55
7.34,7.34
6.89,6.89
6.31,6.31
5.86,5.86
5.29,5.29
5.09,5.09
5.15,5.15
5.71,5.71
6.64,6.64
7.68,7.68
8.34,8.34
8.61,8.61
8.51,8.51
8.53,8.53
8.55,8.55
8.81,8.81
9.2,9.2
9.21,9.21
8.22,8.22
5.98,5.98
2.64,2.64
-1.04,-1.04
-4.57,-4.57
-7.06,-7.06
-8.79,-8.79
-9.24,-9.24
-7.93,-7.93
-5.02,-5.02
-0.75,-0.75
3.35,3.35
6.41,6.41
7.57,7.57
7.35,7.35
6.62,6.62
6.4,6.4
7.56,7.56
9.7,9.7
12.2,12.2
14.18,14.18
15.25,15.25
15.2,15.2
14.26,14.26
12.83,12.83
11.54,11.54
10.51,10.51
9.86,9.86
9.21,9.21
8.7,8.7
8.06,8.06
7.8,7.8
7.67,7.67
7.41,7.41
6.53,6.53
4.91,4.91
3.3,3.3
2.2,2.2
2.24,2.24
3.41,3.41
