channel1,channel2
-114.75,-114.75
-113.81,-113.81
-112.94,-112.94
-112.12,-112.12
-111.37,-111.37
-110.56,-110.56
-109.81,-109.81
-108.94,-108.94
-108.0,-108.0
-107.06,-107.06
-106.12,-106.12
-105.19,-105.19
-104.25,-104.25
-103.31,-103.31
-102.31,-102.31
-101.37,-101.37
-100.37,-100.37
-99.44,-99.44
-98.44,-98.44
-97.44,-97.44
-96.44,-96.44
-95.37,-95.37
-94.37,-94.37
-93.37,-93.37
-92.31,-92.31
-91.31,-91.31
-90.25,-90.25
-89.19,-89.19
-88.12,-88.12
-87.06,-87.06
-86.0,-86.0
-84.94,-84.94
-83.87,-83.87
-82.81,-82.81
-81.69,-81.69
-80.62,-80.62
-79.56,-79.56
-78.44,-78.44
-77.37,-77.37
-76.25,-76.25
-75.12,-75.12
-74.06,-74.06
-72.94,-72.94
-71.81,-71.81
-70.69,-70.69
-69.62,-69.62
-68.5,-68.5
-67.37,-67.37
-66.25,-66.25
-65.12,-65.12
-64.0,-64.0
-62.88,-62.88
-61.75,-61.75
-60.63,-60.63
-59.5,-59.5
-58.25,-58.25
-57.06,-57.06
-55.94,-55.94
-54.81,-54.81
-53.81,-53.81
-52.81,-52.81
-51.75,-51.75
-50.69,-50.69
-49.56,-49.56
-48.38,-48.38
-47.25,-47.25
-46.13,-46.13
-45.0,-45.0
-43.94,-43.94
-42.81,-42.81
-41.75,-41.75
-40.63,-40.63
-39.56,-39.56
-38.44,-38.44
-37.31,-37.31
-36.13,-36.13
-35.0,-35.0
-33.88,-33.88
-32.81,-32.81
-31.81,-31.81
-30.87,-30.87
-29.87,-29.87
-28.87,-28.87
-27.81,-27.81
-26.75,-26.75
-25.69,-25.69
-24.62,-24.62
-23.56,-23.56
-22.56,-22.56
-21.5,-21.5
-13.0,-13.0
34.13,34.13
163.47,163.47
383.19,383.19
642.19,642.19
863.47,863.47
991.69,991.69
1015.47,1015.47
961.47,961.47
872.91,872.91
788.12,788.12
728.31,728.31
696.28,696.28
682.84,682.84
675.22,675.22
663.56,663.56
643.72,643.72
616.72,616.72
586.16,586.16
555.84,555.84
528.19,528.19
503.75,503.75
481.81,481.81
461.0,461.0
440.31,440.31
419.19,419.19
397.69,397.69
376.19,376.19
354.94,354.94
334.31,334.31
314.37,314.37
295.06,295.06
276.25,276.25
257.81,257.81
239.69,239.69
221.81,221.81
204.31,204.31
187.19,187.19
170.37,170.37
154.0,154.0
138.0,138.0
122.37,122.37
107.06,107.06
92.12,92.12
77.5,77.5
63.25,63.25
49.31,49.31
28.12,28.12
-31.25,-31.25
-172.56,-172.56
-403.81,-403.81
-674.19,-674.19
-906.5,-906.5
-1045.44,-1045.44
-1079.63,-1079.63
-1035.75,-1035.75
-957.06,-957.06
-881.81,-881.81
-831.25,-831.25
-808.19,-808.19
-803.44,-803.44
-804.25,-804.25
-800.87,-800.87
-788.94,-788.94
-769.5,-769.5
-746.25,-746.25
-723.12,-723.12
-702.37,-702.37
-684.5,-684.5
-669.12,-669.12
-654.69,-654.69
-639.94,-639.94
-624.69,-624.69
-608.56,-608.56
-592.37,-592.37
-576.12,-576.12
-560.31,-560.31
-545.06,-545.06
-530.12,-530.12
-515.62,-515.62
-501.19,-501.19
-486.87,-486.87
-472.69,-472.69
-458.5,-458.5
